residential,,,,,,,,,,,,,,,,,,,,,,,,,,,
,food,,,,,,,,,,,,,,,,,,,,,,,,,,
,,beverage,biergarten,,,,,,,,,,,,,,,,,,,,,,,,
,,deli,,,,,,,,,,,,,,,,,,,,,,,,,
,,restaurant,food_court,,,,,,,,,,,,,,,,,,,,,,,,
,,cafe,coffee_shop,cafeteria,,,,,,,,,,,,,,,,,,,,,,,
,,bakery,,,,,,,,,,,,,,,,,,,,,,,,,
,,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,
,,dining_hall,,,,,,,,,,,,,,,,,,,,,,,,,
,,food,food_and_drink,,,,,,,,,,,,,,,,,,,,,,,,
,lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,
,,laundry,laundromat,,,,,,,,,,,,,,,,,,,,,,,,
,,beauty_shop,hairdresser,,,,,,,,,,,,,,,,,,,,,,,,
,,car_wash,car_repair,,,,,,,,,,,,,,,,,,,,,,,,
,,hotel,hostel,motel,bed_and_breakfast,guesthouse,chalet,inn,,,,,,,,,,,,,,,,,,,
,,recycling,recycling_clothe,recycling_glas,recycling_metal,recycling_paper,,,,,,,,,,,,,,,,,,,,,
,,stadium,,,,,,,,,,,,,,,,,,,,,,,,,
,,veterinary,,,,,,,,,,,,,,,,,,,,,,,,,
,,travel_agent,,,,,,,,,,,,,,,,,,,,,,,,,
,,self_storage,storage_unit,storage_facility,self-storage,storage,storage_building,storage_rental,,,,,,,,,,,,,,,,,,,
,other,,,,,,,,,,,,,,,,,,,,,,,,,,
,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,
busines,,,,,,,,,,,,,,,,,,,,,,,,,,,
,busines,,,,,,,,,,,,,,,,,,,,,,,,,,
,,industrial,,,,,,,,,,,,,,,,,,,,,,,,,
,,office,,,,,,,,,,,,,,,,,,,,,,,,,
,,company,verizon_building,,,,,,,,,,,,,,,,,,,,,,,,
,,factory,quarry,power_station,manufacture,manufacturing,brewery,power_plant,,,,,,,,,,,,,,,,,,,
,,convention_center,convention_centre,conference_center,,,,,,,,,,,,,,,,,,,,,,,
recreational,,,,,,,,,,,,,,,,,,,,,,,,,,,
,indoor,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sports_centre,sports_house,sports_complex,sports_hall,recreational_center,gymnasium,gym,recreation_center,sport,,,,,,,,,,,,,,,,,
,,swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,
,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,
,,nature,beach,cave_entrance,cliff,glacier,peak,spring,tree,volcano,nature_reserve,forest,meadow,orchard,vineyard,scrub,gras,national_park,basin,,,,,,,,
,,water,waterfall,reservoir,river,dock,glacier,wetland,,,,,,,,,,,,,,,,,,,
,,park,allotment,recreation_ground,village_green,garden,nursery,plant_nursery,arboretum,,,,,,,,,,,,,,,,,,
,,farm,farmland,farmyard,,,,,,,,,,,,,,,,,,,,,,,
,,bicycle_rental,,,,,,,,,,,,,,,,,,,,,,,,,
,,golf_course,,,,,,,,,,,,,,,,,,,,,,,,,
,,dog_park,,,,,,,,,,,,,,,,,,,,,,,,,
,,ice_rink,ice_skating_rink,skating_rink,,,,,,,,,,,,,,,,,,,,,,,
,,picnic_site,,,,,,,,,,,,,,,,,,,,,,,,,
,,pitch,,,,,,,,,,,,,,,,,,,,,,,,,
,,playground,,,,,,,,,,,,,,,,,,,,,,,,,
,,track,,,,,,,,,,,,,,,,,,,,,,,,,
,,viewpoint,observation_tower,,,,,,,,,,,,,,,,,,,,,,,,
,,attraction,monument,memorial,castle,ruin,archaeological,battlefield,fort,aerialway_station,,,,,,,,,,,,,,,,,
,,hunting_stand,,,,,,,,,,,,,,,,,,,,,,,,,
,,graveyard,cemetery,,,,,,,,,,,,,,,,,,,,,,,,
,,tennis_court,,,,,,,,,,,,,,,,,,,,,,,,,
,,shelter,alpine_hut,,,,,,,,,,,,,,,,,,,,,,,,
,,camp_site,caravan_site,,,,,,,,,,,,,,,,,,,,,,,,
,,tourism,tourist_info,tourist_map,tourist_board,tourist_guidepost,,,,,,,,,,,,,,,,,,,,,
,,country_club,,,,,,,,,,,,,,,,,,,,,,,,,
